ID,Statement
P122,There was a person that looks to be 25 years old acting suspicious.
P110,There was a person that looks to be 23 years old acting suspicious.
P184,There was someone with indigo skin acting suspicious.
P103,There was someone with orange hair acting suspicious.
P001,There was someone with red hair acting suspicious.
P164,There was someone with blue skin acting suspicious.
P283,There was a person that looks to be 20 years old acting suspicious.
P190,I saw someone with orange eyes acting suspicious.
P240,I saw someone who looked 158 cm tall acting suspicious.
P092,There was someone with indigo hair acting suspicious.
P071,I saw someone with violet eyes acting suspicious.
P037,I saw someone with yellow eyes acting suspicious.
P150,There was someone with orange hair acting suspicious.
P196,I saw someone who looked 158 cm tall acting suspicious.
P149,I saw someone with indigo eyes acting suspicious.
P180,I saw someone who looked 162 cm tall acting suspicious.
P075,There was someone with orange hair acting suspicious.
P270,I saw someone with violet eyes acting suspicious.
P088,There was a person that looks to be 21 years old acting suspicious.
P269,I saw someone with green eyes acting suspicious.
P058,I saw someone with green eyes acting suspicious.
P157,I saw someone who looked 152 cm tall acting suspicious.
P256,There was a person that looks to be 21 years old acting suspicious.
P192,I saw someone who looked 167 cm tall acting suspicious.
P029,I saw someone who looked 158 cm tall acting suspicious.
P027,There was someone with indigo skin acting suspicious.
P194,I saw someone who looked 154 cm tall acting suspicious.
P200,There was someone with green skin acting suspicious.
P140,I saw someone with red eyes acting suspicious.
P051,I saw someone with green eyes acting suspicious.
P064,I saw someone who looked 160 cm tall acting suspicious.
P083,There was a person that looks to be 20 years old acting suspicious.
P218,I saw someone who looked 152 cm tall acting suspicious.
P080,I saw someone with blue eyes acting suspicious.
P257,There was someone with violet skin acting suspicious.
P170,I saw someone with orange eyes acting suspicious.
P139,I saw someone who looked 150 cm tall acting suspicious.
P176,There was someone with green skin acting suspicious.
P204,There was a person that looks to be 20 years old acting suspicious.
P254,There was a person that looks to be 21 years old acting suspicious.
P267,There was someone with orange hair acting suspicious.
P271,There was someone with red skin acting suspicious.
P002,There was someone with violet hair acting suspicious.
P138,There was someone with red skin acting suspicious.
P079,I saw someone with violet eyes acting suspicious.
P206,There was someone with violet hair acting suspicious.
P125,There was someone with blue skin acting suspicious.
P264,There was a person that looks to be 24 years old acting suspicious.
P244,I saw someone who looked 151 cm tall acting suspicious.
P114,I saw someone with orange eyes acting suspicious.
P059,There was someone with green hair acting suspicious.
P205,There was someone with yellow hair acting suspicious.
P189,There was a person that looks to be 24 years old acting suspicious.
P207,I saw someone with indigo eyes acting suspicious.
P156,There was a person that looks to be 20 years old acting suspicious.
P295,There was someone with blue skin acting suspicious.
P220,There was a person that looks to be 23 years old acting suspicious.
P298,I saw someone with red eyes acting suspicious.
P035,There was someone with orange hair acting suspicious.
P060,There was someone with orange skin acting suspicious.
P297,There was someone with violet hair acting suspicious.
P025,There was someone with red skin acting suspicious.
P013,There was someone with red skin acting suspicious.
P011,There was a person that looks to be 30 years old acting suspicious.
P203,I saw someone who looked 154 cm tall acting suspicious.
P219,There was a person that looks to be 23 years old acting suspicious.
P041,There was someone with violet hair acting suspicious.
P082,There was someone with blue hair acting suspicious.
P038,I saw someone who looked 161 cm tall acting suspicious.
P134,There was a person that looks to be 20 years old acting suspicious.
P284,I saw someone who looked 151 cm tall acting suspicious.
P036,There was a person that looks to be 24 years old acting suspicious.
P076,There was a person that looks to be 20 years old acting suspicious.
P169,There was someone with yellow hair acting suspicious.
P043,I saw someone with red eyes acting suspicious.
P174,I saw someone who looked 151 cm tall acting suspicious.
P137,There was someone with red hair acting suspicious.
P084,There was someone with red skin acting suspicious.
P047,There was a person that looks to be 21 years old acting suspicious.
P146,I saw someone with orange eyes acting suspicious.
P245,There was someone with orange hair acting suspicious.
P052,I saw someone with green eyes acting suspicious.
P048,There was a person that looks to be 23 years old acting suspicious.
P274,I saw someone who looked 158 cm tall acting suspicious.
P131,There was someone with indigo hair acting suspicious.
P085,There was someone with yellow skin acting suspicious.
P293,I saw someone with indigo eyes acting suspicious.
P262,There was a person that looks to be 21 years old acting suspicious.
P285,I saw someone with orange eyes acting suspicious.
P054,There was someone with orange hair acting suspicious.
P104,I saw someone who looked 164 cm tall acting suspicious.
P233,There was a person that looks to be 22 years old acting suspicious.
P211,I saw someone who looked 163 cm tall acting suspicious.
P042,There was someone with red hair acting suspicious.
P163,There was a person that looks to be 25 years old acting suspicious.
P259,There was someone with violet hair acting suspicious.
P153,I saw someone with violet eyes acting suspicious.
P111,I saw someone with violet eyes acting suspicious.
P223,I saw someone who looked 150 cm tall acting suspicious.
P193,There was someone with yellow hair acting suspicious.
P266,There was someone with yellow skin acting suspicious.
P109,I saw someone with blue eyes acting suspicious.
P089,There was someone with green hair acting suspicious.
P106,I saw someone with red eyes acting suspicious.
P095,There was a person that looks to be 24 years old acting suspicious.
P096,I saw someone with orange eyes acting suspicious.
P023,There was someone with orange skin acting suspicious.
P253,There was someone with violet hair acting suspicious.
P113,I saw someone with indigo eyes acting suspicious.
P228,There was someone with indigo skin acting suspicious.
P236,There was someone with red hair acting suspicious.
P234,There was a person that looks to be 22 years old acting suspicious.
P100,There was someone with orange skin acting suspicious.
P116,There was someone with red skin acting suspicious.
P243,There was someone with blue hair acting suspicious.
P061,There was someone with orange skin acting suspicious.
P144,There was someone with orange hair acting suspicious.
P242,There was someone with green skin acting suspicious.
P201,There was someone with green hair acting suspicious.
P068,There was someone with green hair acting suspicious.
P018,There was someone with orange hair acting suspicious.
P026,I saw someone with blue eyes acting suspicious.
P179,There was someone with blue skin acting suspicious.
P258,I saw someone with red eyes acting suspicious.
P003,I saw someone who looked 170 cm tall acting suspicious.
P074,There was someone with blue hair acting suspicious.
P010,I saw someone who looked 158 cm tall acting suspicious.
P217,I saw someone who looked 162 cm tall acting suspicious.
P263,I saw someone who looked 165 cm tall acting suspicious.
P155,There was a person that looks to be 21 years old acting suspicious.
P197,There was a person that looks to be 23 years old acting suspicious.
P024,I saw someone who looked 170 cm tall acting suspicious.
P187,There was someone with blue hair acting suspicious.
P102,There was a person that looks to be 24 years old acting suspicious.
P198,I saw someone who looked 153 cm tall acting suspicious.
P031,There was someone with red skin acting suspicious.
P250,There was someone with red hair acting suspicious.
P276,There was someone with green skin acting suspicious.
P141,There was a person that looks to be 23 years old acting suspicious.
P087,I saw someone who looked 159 cm tall acting suspicious.
P032,There was a person that looks to be 21 years old acting suspicious.
P178,I saw someone who looked 158 cm tall acting suspicious.
P128,There was someone with green hair acting suspicious.
P265,I saw someone who looked 164 cm tall acting suspicious.
P183,There was someone with green skin acting suspicious.
P152,I saw someone who looked 166 cm tall acting suspicious.
P098,There was someone with blue skin acting suspicious.
P133,There was a person that looks to be 21 years old acting suspicious.
P049,There was someone with red hair acting suspicious.
P028,I saw someone who looked 155 cm tall acting suspicious.
P294,I saw someone with violet eyes acting suspicious.
P090,There was a person that looks to be 24 years old acting suspicious.
P172,There was someone with red skin acting suspicious.
P034,I saw someone with orange eyes acting suspicious.
P278,I saw someone who looked 154 cm tall acting suspicious.
P050,I saw someone who looked 161 cm tall acting suspicious.
P016,There was someone with blue skin acting suspicious.
P272,I saw someone who looked 153 cm tall acting suspicious.
P224,I saw someone who looked 152 cm tall acting suspicious.
P039,There was someone with red skin acting suspicious.
P286,There was someone with indigo hair acting suspicious.
P017,I saw someone who looked 151 cm tall acting suspicious.
P227,There was someone with red hair acting suspicious.
P282,There was a person that looks to be 22 years old acting suspicious.
P091,There was someone with red skin acting suspicious.
P021,I saw someone with violet eyes acting suspicious.
P288,I saw someone with orange eyes acting suspicious.
P101,There was a person that looks to be 23 years old acting suspicious.
P046,There was someone with blue skin acting suspicious.
P202,There was someone with green hair acting suspicious.
P181,There was someone with violet skin acting suspicious.
P221,I saw someone with blue eyes acting suspicious.
P280,There was a person that looks to be 21 years old acting suspicious.
P195,There was someone with indigo hair acting suspicious.
P132,There was someone with indigo hair acting suspicious.
P093,I saw someone who looked 159 cm tall acting suspicious.
P118,I saw someone who looked 166 cm tall acting suspicious.
P105,I saw someone with green eyes acting suspicious.
P130,There was someone with green hair acting suspicious.
P158,I saw someone who looked 166 cm tall acting suspicious.
P066,There was a person that looks to be 24 years old acting suspicious.
P012,I saw someone who looked 153 cm tall acting suspicious.
P255,I saw someone with blue eyes acting suspicious.
P022,I saw someone who looked 162 cm tall acting suspicious.
P173,There was someone with green hair acting suspicious.
P073,There was someone with indigo skin acting suspicious.
P136,There was someone with blue hair acting suspicious.
P247,I saw someone with orange eyes acting suspicious.
P171,There was a person that looks to be 24 years old acting suspicious.
P094,There was someone with red hair acting suspicious.
P229,I saw someone with green eyes acting suspicious.
P287,There was someone with red hair acting suspicious.
P143,There was someone with green hair acting suspicious.
P277,I saw someone who looked 154 cm tall acting suspicious.
P296,There was someone with blue skin acting suspicious.
P209,I saw someone with red eyes acting suspicious.
P040,I saw someone who looked 155 cm tall acting suspicious.
P129,There was someone with violet skin acting suspicious.
P215,There was a person that looks to be 22 years old acting suspicious.
P014,There was a person that looks to be 20 years old acting suspicious.
P241,There was someone with orange hair acting suspicious.
P188,I saw someone who looked 154 cm tall acting suspicious.
P279,I saw someone with blue eyes acting suspicious.
P127,I saw someone with blue eyes acting suspicious.
P251,There was a person that looks to be 23 years old acting suspicious.
P246,There was someone with violet hair acting suspicious.
P299,There was a person that looks to be 32 years old acting suspicious.
P166,I saw someone who looked 151 cm tall acting suspicious.
P261,I saw someone who looked 169 cm tall acting suspicious.
P112,There was someone with orange hair acting suspicious.
P191,I saw someone who looked 154 cm tall acting suspicious.
